cluster,titulo
1,Motim em prisão do Equador deixa dois mortos e cinco feridos
1,Laudo revela que afogamento causou morte de perito assassinado por militares da Marinha no Rio
1,Homem é morto a golpes de faca em cidade no interior do Acre
1,"Indígena é morto no interior do AC, quatro são presos e um confessa que deu mais de 30 facadas na vítima"
1,"Homem de 39 anos é morto com nove tiros em Lorena, SP"
1,Homem tenta matar companheira a garrafadas e acaba detido por vizinhos
1,Trisal não consegue fazer registro de bebê com nome dos três pais em cartório e vai recorrer à Justiça
1,Criança de 10 anos é atingida por bala perdida durante tentativa de homicídio contra homem em MT
1,Ex-premiê francês é condenado a quatro anos de prisão por criar emprego fantasma para esposa
1,"MP identifica suspeitos e vai apurar racismo após confusão perto da Unicamp com tiros ao alto, símbolo nazista e ameaça a pessoas negras"
1,"Dois irmãos morrem e dois homens ficam feridos durante troca de tiros na Fercal, no DF"
1,Salvador registra 3 mortes de PMs e outros 2 baleados em fim de semana violento; área crítica tem policiamento reforçado
1,Vídeo mostra perseguição policial no meio da rua após assalto em joalheria no interior de MS
1,Homem que tentou matar a esposa é preso dentro de ônibus no DF
1,"Motociclista morre após bater em outra moto e ser atropelado por carreta e ambulância, em RR"
1,"Atropelamento deixa uma criança morta e outras duas pessoas feridas em Marechal Deodoro, AL"
1,"Mulher morre e três pessoas ficam feridas após carro ser atingido por caminhonete na BR-232, em Tacaimbó"
1,Homem é preso após invadir casa e arrastar ex-companheira pelo cabelo em Rio Preto
1,"Suspeito de estrangular e matar professora é achado morto em cela de presídio, em RO"
1,Mortes na explosão do hotel em Cuba chegam a 26
1,Empresário é assassinado a facadas dentro de casa após reagir a assalto em Araguaína
1,"Operação da Polícia Civil prende suspeito de tráfico, apreende drogas e quase R$ 10 mil dinheiro em Araxá"
1,Homem apontado como principal suspeito de matar comerciante com facada no peito é preso
1,Casa é destruída pelo fogo e corpo é encontrado carbonizado no Oeste de SC; polícia investiga
1,Polícia prende filha e neto por suspeita de participação no desaparecimento de casal em Cachoeirinha
1,"Homem acusado de jogar criança de dois meses em igarapé é condenado a 30 anos de prisão, diz Justiça"
1,Mulher confessa ter sofrido aborto e inventado história sobre sequestro de bebê em SP; família lamenta situação: 'momento é muito delicado'
1,Explosão em hotel de luxo em Cuba deixa ao menos 4 mortos e 19 feridos
1,Suspeito de matar ex-namorada de 23 anos a facadas é preso na BA; homem não aceitava fim de relacionamento
1,Operação de combate ao tráfico de drogas apreende 11 kg de cocaína em Salvador; um homem foi preso
1,Explosão destroi hotel de luxo em Cuba; bombeiros buscam desaparecidos
1,"Após denúncia, trio de traficantes acaba preso por tráfico em casa do Tijucal"
1,Homem é morto após fugir de delegacia e ser baleado em Cuiabá
1,Jovem morre após perder o controle de moto e ser atropelado por ônibus Bahia
1,Homem é morto a tiros após desentendimento na BA; vítima tirava satisfação com mulher que teria batido no filho dele
1,Homem é preso suspeito de estuprar menina de 11 anos na Bahia; ele é tio e vizinho da vítima
1,"Motorista fica ferido em acidente na BR-116, perto de Engenheiro Caldas"
1,Professor suspeito de abuso sexual contra aluno de 9 anos é preso em Teresina
1,"Polícia ainda vai ouvir filho que viu mãe ser morta com tiro na boca pelo marido, em RO"
1,Pai é preso suspeito de dar vodca para filho de 12 anos; jovem foi encontrado embriagado na rua
1,"Homem morre e outro fica ferido após troca de tiros com a polícia, em Campina Grande"
1,Polícia procura homem que tentou matar mulher no Itapoã
1,Homem morre após ser baleado na Prainha em Cuiabá
1,Jovem é morto na porta de casa sete meses após sair da prisão em Vila Velha
1,Filha é presa suspeita de matar a mãe na Grande BH
1,Sargento da PM baleado durante tentativa de assalto em Vila Velha recebe alta
1,Troca de tiros termina com jovem preso em Quatis
1,"Casal de jovens é morto a tiros após ser retirado de casa por 10 homens, em Salvador"
1,Carro bate de frente com carreta em Três Fronteiras
1,Homem é esfaqueado e morto enquanto aguardava para cortar o cabelo em barbearia em MT
1,Motorista fica gravemente ferido após acidente entre carro e caminhão em rodovia de Três Fronteiras
1,"Grupo rouba loja, é perseguido pela PM, troca tiros com os policiais e acaba preso em São Luís"
1,Mulher é atingida por bala perdida e morre durante tiroteio e perseguição policial a criminosos após assalto em SP; VÍDEO
1,Polícia prende homem suspeito de tráfico interestadual de drogas
1,Suspeito de esfaquear e matar cliente de barbearia é preso em MT
1,Vigilante é preso por assassinar jovem de 13 anos; polícia diz que mãe de vítima era o alvo do crime
1,"Após tentativa de fuga, padrasto é preso por torturar criança de 3 anos na Região dos Lagos, no RJ"
1,"Jovem é levado de casa por trio e morto a facadas em Senador Guiomard,  no interior do Acre"
1,Motorista morre após capotar carro em rodovia de Anhembi
1,Motociclista morre ao bater na traseira de ônibus parado em rodovia de MS
1,"Ônibus tomba e deixa duas pessoas feridas em Igreja Nova, AL"
1,"Homem é assassinado dentro de carro no Bairro Periolo, em Cascavel"
1,Casal é assassinado na frente dos filhos de 3 e 5 anos em Vila Velha
1,Idoso é preso suspeito de agredir a filha com soco em Araçatuba
1,PM fica desacordado após ser agredido por grupo em Macapá; ele teve a arma levada
1,Homem é preso em flagrante após matar cachorro a tiros em Mossoró: 'descarregou a arma no animal'
1,Suspeito de roubar carro é morto ao tentar atacar policiais em BH
1,Homem é preso suspeito de tentar estuprar menina de 10 anos no ES
1,Homem é assassinado a tiros dentro de carro em Gurupi
1,Dupla é presa e adolescente apreendido durante operação que investiga tráfico de drogas no Acre
1,Três pastores morrem e quatro pessoas ficam feridas após acidente na Serra de SC
1,Jovem de 18 anos fica em estado grave após ser atingida com dois tiros enquanto andava de bicicleta no AC
1,Casal é preso com entorpecentes no bairro Nova República; jovem já responde por tráfico de drogas
1,Homem morre após ter perna atingida por serra elétrica em Anápolis
1,Polícia localiza casa onde suspeito de matar o jovem Matteus Sousa se escondeu após o crime
1,"'Matou, a gente pega', diz secretário sobre prisão de Paulo Cupertino 3 anos após assassinatos"
1,"Segurança é reforçada no bairro de Pirajá, em Salvador, após tiroteio que terminou com morte de homem"
1,"Mulher suspeita de tentar matar empresária por causa de ex-namorado é presa em Medicilândia, no PA"
1,Suspeitos de atirar contra policiais durante fuga após abordagem são presos em MT
1,Vídeo: acusado por morte de policial civil no Rio é preso em alojamento da Marinha
1,Mulher é baleada e morre durante tiroteio no Guarujá (SP)
1,"Explosão em Havana, capital de Cuba, deixa pelo menos nove mortos e 30 feridos"
1,Sobe para 18 o número de mortos em hotel de luxo em Cuba
1,Homem morre e outros três ficam feridos após carro capotar e cair em ribanceira de rodovia de MS
1,Número de mortos em explosão em hotel de Cuba sobe para 25
1,Mulher é presa suspeita de tráfico de drogas em Itabaiana
1,Foragido da Justiça com diversos registros policiais é preso MGC-452 em Uberlândia
1,Sobe para 22 o número de mortos em explosão de hotel em Cuba
1,Homem é preso por posse ilegal de arma de fogo e drogas na cidade de Cruzeiro
1,Homem que matou filho por perder a guarda se despediu em carta: ‘Sonho de seu pai morre com a mãe’
1,Vítima escapou da rajada de balas; fugiu para Marialva e acabou preso por posse de drogas
1,Polícia descarta homicídio em caso de homem achado morto após esfaquear ex-namorada no AC
1,Homem é preso por estuprar mulher dentro de escritório de advocacia na Grande Belém
1,Acusado matar homem e deixar mulher  ferida por vingança é condenado a 33 anos de prisão
1,"Família pede ajuda para encontrar mulher que sumiu após discutir com namorado na casa do irmão, em Aparecida de Goiânia"
1,"Motorista tenta atropelar policiais, fura cerco e é flagrado com drogas na BR-262, em Nova Serrana"
1,Homem morre de infarto enquanto enterrava mulher que ele matou estrangulada nos EUA
1,"'Nunca pensei em perder uma filha dessa forma', diz pai de mulher morta após ser esfaqueada pelo ex; corpo é velado na Grande BH"
1,SP: homem morre baleado em ação policial na Cracolândia
1,Suspeito é preso após matar homem a tiros no sudoeste da BA; polícia diz que crime foi motivado por vingança
1,"Com 300kg de maconha em carro, motorista tenta fugir da polícia e acaba preso depois de bater veículo em clínica odontológica"
1,Homem esfaqueia companheira após desentendimento no DF
1,Dois homens morrem após confronto com policiais no interior da Bahia; um deles era foragido de presídio
1,"Após assalto, suspeito tenta se esconder em escola e é preso em Paraguaçu Paulista"
1,"Dois homens são presos por tráfico de drogas e porte ilegal de arma em Petrópolis, no RJ"
1,Homem é preso e outro apreendido suspeitos de participarem de morte de jovem em Manaus
1,Três pessoas ficam feridas após queda de elevador em MT
1,Homem é condenado a 11 anos de prisão por estupro de idosa na Escócia
1,"Duas mulheres morrem após moto bater em poste no interior da Bahia; vítimas perseguiam suspeito de assalto, diz delegada"
1,Quatro pessoas são detidas em Caratinga por tráfico de drogas
1,Servidor do governo é preso por embriaguez após atropelar agente de trânsito com carro oficial na saída de show
1,"Suspeito de matar sitiante em Cerejeiras, RO, é preso após passar dois meses foragido"
1,Motoboy confundido com assaltante em SP luta pela liberdade após 7 meses na prisão
1,Dona de casa descobre que foi declarada morta ao pedir auxílio do governo: 'estou viva e sei que não fiz nada de errado'
1,Mulher é morta a facadas pelo companheiro no oeste da Bahia; suspeito confessou crime à polícia
1,Imagens mostram policial atirando contra clientes de boate após briga na Grande SP
1,Suspeito de estuprar homem de 50 anos em via pública no interior do Ceará é preso em Pernambuco
1,Mãe esfaqueia homem que foi flagrado estuprando filha de 5 anos em MT
1,"Dois morrem após batida entre carro e moto na BR-116, na Bahia"
1,Polícia prende dois suspeitos de matar jovem de 16 anos na Grande SP
1,Queda de ônibus em penhasco mata 11 pessoas e deixa 34 feridos no Peru
1,"Homem rouba motorista de ônibus, tenta fugir, mas é detido pela GCM no litoral de SP"
1,Jovem usa golpes de karatê para fugir de enforcamento após suspeito invadir casa em MS
1,Garçonete é assassinada a tiros enquanto trabalhava em Fortaleza
1,Suspeito de ser chefe do tráfico de drogas em Pinheiros é preso durante operação policial
1,Mulher é assassinada a marretadas e filha de 10 anos desaparece no PA
1,Suspeito de tentativa de feminicídio é preso em Salvador; homem atacou ex-companheira com golpes de faca
1,"VÍDEO: 'Ele precisa pagar pelo que fez', desabafa vítima de tentativa de feminicídio no DF"
1,"Após denúncias de tráfico de drogas, PM prende homem no Bairro Catalão em Divinópolis"
1,Adolescente suspeito de envolvimento em tentativa de assalto é jogado em canal e apedrejado por populares em Aracaju
1,Homem de 56 anos é assassinado a tiros em Rio Claro
1,Homem confessa que matou ex-prefeito de Campo Magro com facadas e corda
1,Acusado de chefiar grupo criminoso que roubou banco de Miguel Alves é condenado a 7 anos de prisão
1,Três pessoas são presas em operação contra roubo de cofres em Porto Velho
1,Homem é morto a tiros dentro de bar na cidade de Santanópolis; vítima estava com espingarda escondida no local
1,Homem é condenado a quase 15 anos por estuprar criança filha de inquilina em troca do aluguel de kitnet em MS
1,Resgate em hotel que explodiu em Cuba termina com 44 mortos
1,Ação contra tráfico internacional de drogas apreende 283 kg de cocaína em dois países
1,Homem suspeito é preso com mais de 1kg de cocaína e arma de fogo na zona rural de Caruaru
1,Quase 250 pedras de crack e cocaína são apreendidas durante operações de combate ao tráfico em Juiz de Fora
1,"Comerciante é morto a tiros em MG; vítima já havia sofrido tentativa de homicídio há um mês, no mesmo local"
1,Homem morre após carro bater em traseira de caminhão na SP-308 em Charqueada
1,Polícia prende homem que agrediu e arrancou olho da companheira no sul da Bahia; suspeito disse que cometeu crime por ciúmes
1,"Duas pessoas são presas durante operação que investiga desaparecimento de mulher, em Londrina"
1,"Acidente entre caminhão e carreta deixa duas pessoas gravemente feridas na BR-415, sul da Bahia"
1,Brasileira morre em Portugal após deixar hospital e passar mal a caminho da casa da filha
1,Dois homens são presos e adolescente é apreendido após sequestrarem motorista em SP
1,Homem de 30 anos é morto a tiros em Canas
1,Quadrilha é presa após roubar um hotel em São Sebastião
1,Rapaz é preso suspeito de cometer abuso sexual contra a filha de 6 anos em Araxá
1,Corpo é encontrado às margens de rio no norte da BA; bombeiros dizem ser de mulher que pulou de ponte para  mergulhar e sumiu
1,Polícia investiga morte de homem baleado nos arredores da Cracolândia
1,"Após ter caminhonete destruída em acidente, irmão de ex-BBB agradece pela vida: 'sem nenhum arranhão'"
1,Polícia Civil já restituiu quase 200 motos durante mutirões em Teresina; saiba como ter seu veículo de volta
1,"Homem ameaça policiais com 'terçado', leva tiro na perna e acaba preso por tráfico de drogas em Santarém"
1,Acidente entre caminhão e bicicletas deixa uma pessoa morta e duas feridas em Brejo Grande
1,"Brasileiros presos na Tailândia: após condenação de Mary Hellen, defesa de Jordi espera pena igual ou menor em julgamento por tráfico internacional de drogas"
1,Jovem é encontrado morto com marcas de tiros dentro de chácara em Vitória
1,Suspeito de balear policial durante assalto em Teresina é foragido da Justiça do Maranhão
1,"Polícia Civil vai investigar atropelamento de motociclista em pedágio da Fernão Dias, em MG"
1,Troca de tiros deixa dois mortos e dois feridos na Fercal (DF)
1,Justiça mantém prisão preventiva do sargento da Marinha acusado de matar o vizinho em São Gonçalo
1,"Homem é preso suspeito de estuprar e engravidar afilhada com deficiência, em Orizona"
1,"‘Eles armaram para matar mesmo’, diz irmã de perito assassinado; vítima ainda levou ‘tiro de misericórdia’"
1,Corpo de adolescente que desapareceu após entrar no mar em praia no sul da Bahia é encontrado
1,"Mulher é presa suspeita de participação em chacina que deixou cinco mortos em Juazeiro do Norte, no Ceará"
1,"Idoso morre atropelado por carro em Unaí; bafômetro apontou que motorista ingeriu álcool, diz polícia"
1,Carro é furtado com bebê dentro e polícia persegue suspeito em MG
1,"Homem morre após confronto com policiais militares no bairro da Liberdade, em Salvador"
1,"Homem é preso suspeito de estuprar três filhas, em Manaus"
1,Homem é assassinado a tiros dentro de bar em Parauapebas
1,Suspeito de estuprar mulher trabalhava no mesmo local que a vítima em Teresina; crime aconteceu na empresa
1,"Perito morto por militares da Marinha foi jogado ainda vivo no Rio Guandu, aponta laudo"
1,Motorista abandona veículo com cigarros  em milharal após avistar polícia
1,Dois homens são baleados durante trabalho
1,Homem de 19 anos suspeito de matar a sogra em bar e fugir para fazenda é preso em MT
1,"Homem morre após ser agredido na cabeça, nas proximidades do terminal de Paranavaí, diz PM"
1,Novo motim em presídio no Equador deixa ao menos 43 mortos
1,Justiça determina prisão preventiva do policial que matou homem na avenida da Prainha
1,"Mesmo morando na rua, casal cuida de 17 cães: 'não vendo, não troco, não empresto nem alugo, é minha família', diz mulher"
1,Testemunhas são ouvidas em audiência sobre caso de mulher que sumiu após voltar de viagem à Colômbia
1,Mulher é condenada por tortura após espancar e jogar filha de 2 anos contra parede em SC
1,Condutor de trem morre após bater em outro trem na Espanha; pelo menos 80 ficam feridos
1,Casal acusado de torturar filho de 11 anos é preso em Minas
1,Homem desaparece e é achado morto no sul da Bahia; vítima tinha marcas de tiros pelo corpo
1,Piloto é preso suspeito de atuar no tráfico internacional de drogas em grupo chefiado por empresários do Brasil e políticos do Suriname
1,Mulher encontrada carbonizada em Samambaia levou ao menos 22 facadas
1,"MP oferece denúncia contra tios suspeitos de torturar sobrinho de seis anos em Cujubim, RO"
1,Mulher morre atropelada por amiga após festa do próprio aniversário em SC
1,"Operação ‘Uncle’ prende homem suspeito de estuprar o sobrinho em Rurópolis, no PA"
1,Polícia faz buscas para prender ladrão que roubou malote com R$ 23 mil e baleou dois homens em Birigui
1,Suspeito de tentar matar ex-companheira a facadas é preso em Natal
1,Policial da reserva e suspeito morrem durante tentativa de assalto em Porto Velho
1,Rebelião em presídio do Equador deixa ao menos 43 mortos
1,Carro é furtado com bebê de 3 meses dentro e policiais perseguem veículo
1,"Acidente envolvendo duas carretas e um caminhão deixa feridos na BR-262, em Córrego Danta"
1,Jovem é morto após ser acusado de furar fila em supermercado
1,Polícia Civil de Americana apreende motos roubadas e prende suspeito em Sumaré
1,Jovem que matou sogra a tiros em bar é preso 'tirando cochilo'
1,"""Tiraram de mim o meu maior amor"", diz mãe de menino assassinado pelo próprio pai em SP"
1,Homem é condenado a 37 anos de prisão por matar mãe e enterrar corpo no quintal de casa em MG
1,Vídeo mostra vítima lutando para escapar de estupro na Zona Norte de Teresina
1,Mulher é assassinada a facadas em praça de Augustinópolis e ex-marido é preso suspeito do crime
1,Polícia encontra carro de padre investigado por atropelar homem após furto a igreja; religioso foi afastado
1,Adolescente suspeito de assalto é apreendido ao passar correndo por rua de sindicato de policiais penais durante evento
1,"Mulher desaparece após pular de ponte para mergulhar no Rio São Francisco, em Paulo Afonso"
1,Jovem é agredida e trancada no quarto em Campo Grande após negar abraço ao marido
1,"Foragido da Justiça por homicídio é preso durante fiscalização da PRF na BR-116, em Itaobim"
1,Polícia apreende 4 quilos de drogas em Piracicaba e prende mulher suspeita de tráfico
1,Homem é preso por suspeita de matar ex-mulher em BH; vítima morreu nos braços do filho
1,"Corpo encontrado no Rio Guandu é de perito morto por militares da Marinha, segundo família"
1,Suspeito de cometer arrastões é morto a tiros na Zona Norte de Manaus
1,"Pai é preso suspeito de estuprar a própria filha de 13 anos, em Campina Grande"
1,Três pessoas são detidas e uma adolescente é apreendida por envolvimento com o tráfico de drogas em Luz
1,Homem que não sabia nadar desaparece após pular de ponte em rio de Rio Verde
1,Cinco pessoas da mesma família morrem em acidente na BA-220; três das vítimas eram irmãos
1,"Morador de rua é morto à paulada em Foz do Iguaçu; suspeito foi preso, diz polícia"
1,Homem esfaqueia policial ao ser preso por invadir casa de ex no DF
1,Mortos em explosão de hotel em Cuba chegam a 40
1,Dois morrem em confronto com a PM após fazerem família refém na Zona Norte de Macapá
1,"Após perseguição, motorista é preso com caminhão roubado, em Londrina"
1,"Após ferir homem com pedaço de garrafa no planalto santareno, agressor é preso pela PM"
1,"Homem escapa ileso de atentado pela 3ª vez, mas vai preso no noroeste do Paraná; entenda"
1,"Homem condenado por estupro de vulnerável é preso em Viamão, diz polícia"
1,Motorista de caminhão roubado é preso em Londrina após perseguição; veja imagens aéreas
1,Vídeo: rapaz é “carregado” por ônibus após ser empurrado; polícia tenta localizar acusado
1,Pistoleiro é preso suspeito de cometer mais de 10 homicídios na Zona da Mata
1,"Mototaxista é esfaqueado durante tentativa de assalto em Parnaíba, no litoral do Piauí"
1,Mulher desaparece após cair de um barco no rio Tapajós em comunidade da zona rural de Santarém
1,Suspeito de matar idoso com um tiro na cabeça durante tentativa de assalto é preso em Teresina
1,Mulher é condenada a 70 anos de prisão por estuprar e vender material pornográfico dos filhos em Porto Alegre
1,Mulher é presa por suspeita de tráfico de drogas no Entorno do DF
1,"'Matou, a gente pega', diz secretário sobre prisão de Paulo Cupertino"
1,Jovens ficam feridos em acidente envolvendo carro e caminhão na MG-050 próximo a Doresópolis
1,Criminosos morrem em troca de tiros com PMs durante tentativa de assalto à casa lotérica no RJ
1,Dois jovens são mortos a tiros em Ceilândia (DF)
1,"Mulher é presa suspeita de mandar matar haitiano que a convidou para dançar em bar de Curitiba, diz polícia"
1,Caso Lucilene: testemunha é morta após tentar falar com família da vítima
1,"Motorista de aplicativo preso após assalto conhecia criminosos e adulterou placa do carro, diz SSP"
1,"Motorista morre após ter carro parado no acostamento atingido por picape em Jaboticabal, SP"
1,Segundo suspeito de envolvimento na morte de gari é preso pela Polícia Civil no AM
1,Caso Josué: Ex-policial penal é condenado a 11 anos e 4 meses de prisão em regime fechado
1,Caso Lucilene: possível testemunha morre após tentar falar com família
1,Motoristas morrem após caminhões baterem de frente na BR-153 em Ribeirão do Sul
1,Suspeito morre e outro fica ferido em troca de tiros com policiais no Complexo do Salgueiro (RJ)
1,Suspeito é morto a tiros durante assalto na Zona Leste de Teresina; cúmplice fugiu com pertences de vítima
1,Homem é preso suspeito de esfaquear companheira e filha grávida no Interior de SP
1,"Suspeito é preso durante assalto a micro-ônibus na BR-101, em Laranjeiras"
1,"Homem é preso por manter companheira em cárcere privado em Santana do Ipanema, AL"
1,Polícia Federal prende suspeita de aliciar brasileiros detidos por tráfico de drogas na Tailândia
1,PM à paisana reage a tentativa de assalto e mata suspeito dentro de loja de eletrodomésticos no interior do AC
1,Acusado de matar amiga da ex-mulher dele por ciúmes é preso em MT
1,Caso Mônica de Oliveira: marido afirma briga de casal e diz que é dono da arma usada na morte de juíza
1,Carro atropela cavalo e mulher morre em acidente em rodovia de Araçatuba
1,"Paranaense preso por tráfico de drogas na Tailândia telefona aos pais após dois meses: 'Pediu que mandasse uma Bíblia, para que pudesse refletir', diz advogado"
1,Caso Heloá: vizinho que confessou ter estuprado e matado menina de 11 anos vai a júri em novembro deste ano
1,Homem é preso por agredir e manter namorada em cárcere privado no Rio de Janeiro
1,Suspeito de matar e esquartejar vendedor que foi confundido com policial militar é preso em SP
1,Tiroteio na Holanda deixa dois mortos
1,Homem é preso após confessar assassinato de ex em Contagem (MG)
1,"'Eu estou nessa idade e nunca pensei em ver isso', diz irmão da mulher morta a tiros em Gravatá"
1,Jovem é morto com vários tiros dentro de casa em Governador Valadares
1,"Vídeo mostra brasileiros suspeitos de tráfico internacional de drogas na Tailândia com suposta aliciadora em aeroporto antes de embarque, diz PF"
1,"'Professora, se um pai bater na filha é crime?', pergunta criança após afirmar ter recebido chineladas em BH"
1,Homem é preso pela Polícia Civil por suspeita de envolvimento com roubos em Muriaé e região
1,Quatro pessoas são presas por tráfico de drogas em Porto Velho
1,"Quase dois anos após matar grávida e roubar bebê em Ituiutaba, quatro acusados aguardam julgamento"
1,Homem persegue esposa com facão após vítima voltar de festa familiar em RO
1,Homem ligado ao PCC e suspeito de fornecer de explosivos para crimes no litoral de SP é preso
1,"Acidente entre carro e caminhonete deixa um morto na BR-235, no norte da Bahia; outras cinco pessoas ficaram feridas"
1,Mototaxista de São Gonçalo fica mais de 2 anos preso injustamente após reconhecimento por fotos
1,Mulher é presa suspeita de esfaquear homem no metrô de SP
1,Homem é preso após tentar matar ex-esposa a facadas
1,Jovem morre atingido por bala perdida durante troca de tiros entre suspeitos e um policial aposentado na Zona Sul de SP
1,Acusado do assassinato de duas crianças em Viçosa do Ceará é condenado a 50 anos de prisão
1,Homem que agrediu namorada por 3 dias já foi preso por espancar a mãe do seu filho: ‘Não vai sair viva’
1,"Homens morrem após troca de tiros com policiais no bairro de Pernambués, em Salvador"
1,"Dois anos após morte de policial, viúva ainda aguarda prisão de criminosos"
1,Mulher tem apartamento invadido e é morta com golpes de faca em Rio Branco
1,Ex-detento é morto a tiros após desentendimento por ocupação de terra na Zona Leste de Teresina
1,"Homem é condenado a mais de 30 anos de prisão por matar a ex-mulher enquanto ela implorava para não ser morta, em Planaltina de Goiás"
1,"Condição financeira de brasileiros presos por tráfico na Tailândia indica que foram aliciados, diz PF"
2,"Rainha 'ronronou' ao saber que Escócia rejeitou independência, diz premiê britânico"
2,Por que a Escócia rejeitou a independência?
2,"Independência da Escócia seria 'divórcio', diz premiê britânico"
2,Escócia rejeita independência: e agora?
3,Polícia Civil do RN abre inquérito para investigar entrada de bilhetes de criminosos em presídios por meio de advogados
3,Operação da Polícia Federal apreende armamento suspeito em Dois Córregos
3,Polícia Civil de Juiz de Fora recebe denúncia de mais uma empresa que teve contêineres desviados
3,MP e Polícia Civil investigam denúncias de maus-tratos dentro de abrigo para mulheres em SC
3,Dois acusados se apresentam na sede da Polícia Federal após operação que investiga fraudes em licitações na Educação e Saúde
3,Polícia Civil identifica suspeitos do roubo milionário da conta da Prefeitura de Campinas
3,Polícia do Rio deflagra ação contra fraudes em licitações públicas
3,Polícia Civil investiga suspeita de envenenamento de sete cães encontrados mortos em Limeira
3,Suspeitos de roubo são localizados com ajuda de câmera térmica no DF
3,Câmera térmica ajuda polícia a localizar suspeitos de roubo no DF
3,"Policia Civil de Campinas realiza ""Operação Falso Insumo"""
4,Governo diz ao STF que perdão a Daniel Silveira é constitucional e não gera crise entre poderes
4,Orçamento Secreto: STF recebe mais de 400 explicações de parlamentares no relatório
4,Defesa pede que TSE divulgue sugestões das Forças Armadas ao processo eleitoral
4,AGU defende indulto a Daniel Silveira e diz que ato não gera crise
4,Troca no MME indica que Bolsonaro quer ir para a guerra contra o que chama de 'abusos' da Petrobras
4,AGU diz ao Supremo que indulto de Bolsonaro a Daniel Silveira é constitucional
